国家,综合得分,百分制得分,排名
美国,0.7339536218553686,100.0,1
中国,0.7182611072190836,97.86192013105465,2
德国,0.21232078787257286,28.92836571006286,3
法国,0.17839924405688024,24.30660994708399,4
日本,0.17037726112364926,23.21362768030913,5
英国,0.16980851760955468,23.136137291658027,6
加拿大,0.13625190978077328,18.564103469690732,7
阿联酋,0.13191570553994927,17.973302619105315,8
韩国,0.12690708431093203,17.290886035840025,9
印度,0.12142205631349973,16.543559796946802,10
