Country,Grey_Relation,Grey_Rank
美国,0.7792880347980151,1
中国,0.6439947851001944,2
印度,0.4170471563578763,3
阿联酋,0.4051696776156249,4
韩国,0.37026954441078774,5
英国,0.3686131633785328,6
日本,0.36227346384502834,7
法国,0.3611643772481218,8
德国,0.3566825253457844,9
加拿大,0.3506041818353417,10
