年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,55,20,29,45,29,18,30,40,30,4
2017,68,28,35,50,34,25,38,48,36,6
2018,85,40,45,58,42,35,50,60,45,9
2019,110,65,65,68,55,60,75,85,70,15
2020,145,95,90,80,75,95,110,120,110,22
2021,185,135,115,90,105,135,160,165,165,30
2022,220,175,140,95,135,175,210,200,220,38
2023,250,215,155,100,155,205,260,225,275,45
2024,279,244,163,102,173,219,290,237,313,50
2025,298,252,163,102,234,219,308,245,318,55
