Country,Score,Score_Normalized,Rank
中国,1.2684393620130001,1.0,1
美国,0.9772866468539209,0.8339646438450736,2
印度,0.053793383513143965,0.3073251007390313,3
阿联酋,-0.04236403088813665,0.2524895120057087,4
韩国,-0.21299348269328983,0.15518483193254057,5
日本,-0.3397593481144626,0.08289419366048474,6
德国,-0.38767503659841646,0.05556936380789357,7
英国,-0.4066884142616824,0.04472662469655254,8
法国,-0.42491991128285744,0.0343297678460356,9
加拿大,-0.4851191685412191,0.0,10
