Country,Grey_Relation,Grey_Rank
美国,0.7268497019980811,1
中国,0.6918804712495799,2
印度,0.419709095355562,3
法国,0.3888063922616072,4
韩国,0.3797057481083783,5
阿联酋,0.37876819841064824,6
德国,0.3704212591347874,7
英国,0.3637664589649602,8
加拿大,0.3601574377378519,9
日本,0.3586583125986721,10
