维度,投资额_亿元,占比_%
I_基础设施,3232.6426891629962,32.326426891629964
T_人才,1739.2843199093065,17.392843199093065
P_政策,1739.106356298571,17.39106356298571
A_应用,1512.4000033415566,15.124000033415566
R_研发,1264.8046929666593,12.648046929666593
O_产出,511.8438088481096,5.118438088481096
