Country,Score,Score_Normalized,Rank
中国,1.3413239704643962,1.0,1
美国,1.1835584545040674,0.916122792083102,2
印度,0.1992394593061889,0.3928022900443327,3
德国,-0.30524854680771674,0.12458749593788267,4
英国,-0.30649345368974745,0.12392563195103065,5
韩国,-0.319940559957048,0.11677637806371974,6
加拿大,-0.36524649878042537,0.09268913930671369,7
法国,-0.4425960041597276,0.05156570047740461,8
日本,-0.44501035240087444,0.050282094309264586,9
阿联酋,-0.5395864684791122,0.0,10
